GPSLatitude,GPSLongitude,GPSAltitude,CreateDate
58.65014647,-134.2085612,1098.8,2021:07:15 09:45:04
58.65015461,-134.2085938,1098.8,2021:07:15 09:45:07
58.65016275,-134.20861,1098.7,2021:07:15 09:45:11
58.65016275,-134.20861,1098.5,2021:07:15 09:45:14
58.65017089,-134.20861,1098.6,2021:07:15 09:45:17
58.65017089,-134.20861,1098.8,2021:07:15 09:45:20
58.65017089,-134.2086588,1099.3,2021:07:15 09:45:23
58.65020344,-134.2087239,1100.3,2021:07:15 09:45:26
58.65025228,-134.2088216,1101.8,2021:07:15 09:45:29
58.65029294,-134.208903,1103.4,2021:07:15 09:45:32
58.65033364,-134.2089355,1103.8,2021:07:15 09:45:35
58.65036619,-134.2089518,1103.7,2021:07:15 09:45:38
58.65037433,-134.2090006,1102.8,2021:07:15 09:45:41
58.65038247,-134.2090495,1103,2021:07:15 09:45:44
58.65039061,-134.209082,1103.3,2021:07:15 09:45:47
58.65040689,-134.2091308,1103.6,2021:07:15 09:45:50
58.65042317,-134.2091797,1104.1,2021:07:15 09:45:53
58.65045572,-134.2092285,1104.5,2021:07:15 09:45:56
58.650472,-134.2092773,1105.6,2021:07:15 09:45:59
58.65051269,-134.2093099,1106.8,2021:07:15 09:46:02
58.65053708,-134.2093587,1107.9,2021:07:15 09:46:08
58.65051269,-134.2093913,1108,2021:07:15 09:46:11
58.65045572,-134.2094564,1108.1,2021:07:15 09:46:14
58.65035806,-134.2094726,1108.8,2021:07:15 09:46:17
58.65029294,-134.209375,1107.9,2021:07:15 09:46:20
58.65033364,-134.2093424,1107.6,2021:07:15 09:46:23
58.65040689,-134.209375,1110.1,2021:07:15 09:46:26
58.65050456,-134.2094726,1111.7,2021:07:15 09:46:29
58.65061847,-134.209554,1110.7,2021:07:15 09:46:32
58.65068358,-134.2095052,1109.6,2021:07:15 09:46:35
58.65068358,-134.2094726,1109.8,2021:07:15 09:46:38
58.65069172,-134.2094238,1110.1,2021:07:15 09:46:41
58.65072428,-134.2092936,1111,2021:07:15 09:46:44
58.650708,-134.2092285,1111.7,2021:07:15 09:46:47
58.65066731,-134.2092448,1111.3,2021:07:15 09:46:50
58.65061033,-134.2091959,1112,2021:07:15 09:46:53
58.65062661,-134.209082,1113.1,2021:07:15 09:46:56
58.65065917,-134.2089844,1114.1,2021:07:15 09:46:59
58.65063475,-134.2089518,1113.7,2021:07:15 09:47:02
58.65056964,-134.2089355,1114,2021:07:15 09:47:05
58.65057778,-134.2090006,1114.6,2021:07:15 09:47:08
58.65061847,-134.2091146,1115,2021:07:15 09:47:11
58.65060219,-134.2092285,1115.3,2021:07:15 09:47:14
58.65056964,-134.2092122,1115.8,2021:07:15 09:47:17
58.65061033,-134.2092122,1116.5,2021:07:15 09:47:20
58.65076497,-134.209375,1117.9,2021:07:15 09:47:26
58.65084633,-134.2094889,1118.8,2021:07:15 09:47:29
58.65091144,-134.2095703,1119.4,2021:07:15 09:47:32
