GPSLatitude,GPSLongitude,GPSAltitude,CreateDate
58.65002439,-134.2082031,1117.6,2021:07:15 22:16:44
58.65002439,-134.2081868,1117.8,2021:07:15 22:16:47
58.65003253,-134.2082031,1117.3,2021:07:15 22:16:50
58.65003253,-134.2082194,1117.1,2021:07:15 22:16:53
58.65004067,-134.2082357,1117.8,2021:07:15 22:16:56
58.65004067,-134.2082519,1118.5,2021:07:15 22:16:59
58.65003253,-134.2082845,1118.9,2021:07:15 22:17:02
58.65002439,-134.2083008,1119.1,2021:07:15 22:17:05
58.65002439,-134.2083333,1119.1,2021:07:15 22:17:08
58.65001625,-134.2083821,1119.1,2021:07:15 22:17:11
58.64998372,-134.2084635,1119.6,2021:07:15 22:17:14
58.64991861,-134.2085286,1120.4,2021:07:15 22:17:17
58.64986978,-134.2084635,1121.7,2021:07:15 22:17:20
58.64988606,-134.2083984,1122.6,2021:07:15 22:17:23
58.64992675,-134.2084473,1123.6,2021:07:15 22:17:26
58.64995931,-134.2085775,1124.1,2021:07:15 22:17:29
58.65004067,-134.2086914,1125.5,2021:07:15 22:17:33
58.65013019,-134.2086751,1124.3,2021:07:15 22:17:36
58.65017089,-134.2085612,1125.6,2021:07:15 22:17:39
58.65025228,-134.2085775,1125,2021:07:15 22:17:42
58.65034992,-134.2085612,1126,2021:07:15 22:17:45
58.65043944,-134.2085938,1124.3,2021:07:15 22:17:48
58.65043131,-134.2087565,1124.6,2021:07:15 22:17:51
58.65037433,-134.2088867,1124.5,2021:07:15 22:17:54
58.65039875,-134.2089518,1125,2021:07:15 22:17:57
58.65042317,-134.2088867,1125.5,2021:07:15 22:18:00
58.650472,-134.2088053,1126.5,2021:07:15 22:18:03
58.6505615,-134.2087728,1126.4,2021:07:15 22:18:06
58.65056964,-134.20861,1127.1,2021:07:15 22:18:09
58.65060219,-134.2084635,1127.2,2021:07:15 22:18:12
58.65062661,-134.2085124,1128.5,2021:07:15 22:18:15
58.65059406,-134.2085612,1129.9,2021:07:15 22:18:18
58.6505615,-134.2085286,1130.9,2021:07:15 22:18:22
58.65056964,-134.2084473,1132,2021:07:15 22:18:25
58.65059406,-134.2083821,1132.4,2021:07:15 22:18:28
58.65061847,-134.2083984,1133.5,2021:07:15 22:18:31
58.65063475,-134.208431,1134.8,2021:07:15 22:18:34
58.65068358,-134.2084635,1135.7,2021:07:15 22:18:37
58.65074056,-134.2084798,1136.8,2021:07:15 22:18:40
58.65081378,-134.2084473,1137,2021:07:15 22:18:43
58.65087075,-134.2083821,1137.2,2021:07:15 22:18:46
58.650944,-134.2083496,1137.8,2021:07:15 22:18:49
58.65101725,-134.2083659,1138,2021:07:15 22:18:52
58.65108233,-134.2083008,1139,2021:07:15 22:18:55
58.65111489,-134.2083821,1140,2021:07:15 22:18:58
58.65109047,-134.2083984,1143.4,2021:07:15 22:19:01
58.65108233,-134.208431,1146.7,2021:07:15 22:19:04
58.65113117,-134.2084635,1148.6,2021:07:15 22:19:07
58.65118814,-134.2084961,1150.7,2021:07:15 22:19:10
58.65125325,-134.2085612,1151.8,2021:07:15 22:19:14
58.65126953,-134.2085775,1154.5,2021:07:15 22:19:17
58.65127767,-134.2084635,1156.4,2021:07:15 22:19:20
58.65126953,-134.2083496,1157.9,2021:07:15 22:19:23
58.65127767,-134.2082845,1158.9,2021:07:15 22:19:26
58.65133461,-134.2082357,1158.4,2021:07:15 22:19:29
58.65142414,-134.208138,1158.8,2021:07:15 22:19:32
58.65151367,-134.2081054,1160.2,2021:07:15 22:19:35
58.65154622,-134.2079915,1162.3,2021:07:15 22:19:38
58.65159503,-134.2079101,1164,2021:07:15 22:19:41
58.65173339,-134.2077474,1167.5,2021:07:15 22:19:47
58.65182292,-134.2076823,1169,2021:07:15 22:19:50
58.651888,-134.2076009,1170.9,2021:07:15 22:19:53
58.65192056,-134.2075033,1173.3,2021:07:15 22:19:56
58.65196125,-134.2074056,1175.5,2021:07:15 22:19:59
58.65204264,-134.207373,1178.4,2021:07:15 22:20:03
58.65208331,-134.2074219,1181.1,2021:07:15 22:20:06
58.65209144,-134.2074381,1182.6,2021:07:15 22:20:09
58.65210772,-134.2073893,1184.1,2021:07:15 22:20:12
58.65215656,-134.2073079,1186.3,2021:07:15 22:20:15
58.65224608,-134.2072591,1188.3,2021:07:15 22:20:18
58.65231119,-134.2071289,1189.9,2021:07:15 22:20:21
58.65240069,-134.2070313,1191.1,2021:07:15 22:20:24
58.6525065,-134.2069336,1191.7,2021:07:15 22:20:27
58.65257161,-134.2068034,1192.2,2021:07:15 22:20:30
58.65258789,-134.2068196,1192.8,2021:07:15 22:20:33
58.65262042,-134.2067546,1194.6,2021:07:15 22:20:36
58.65266925,-134.2066732,1197.1,2021:07:15 22:20:39
58.65270181,-134.2066894,1198.6,2021:07:15 22:20:42
58.65270181,-134.2066569,1199.9,2021:07:15 22:20:45
58.6527425,-134.2065592,1201.8,2021:07:15 22:20:48
58.65281575,-134.2065592,1203.2,2021:07:15 22:20:51
58.65283203,-134.2065918,1204.1,2021:07:15 22:20:54
58.65280761,-134.2065429,1204.8,2021:07:15 22:20:57
58.65276692,-134.2065755,1205.7,2021:07:15 22:21:00
58.65279133,-134.2066569,1205.2,2021:07:15 22:21:03
58.65281575,-134.206722,1204.6,2021:07:15 22:21:06
58.65282389,-134.2067871,1204.4,2021:07:15 22:21:10
58.65284017,-134.2068196,1203.8,2021:07:15 22:21:13
58.65285644,-134.2068522,1203.3,2021:07:15 22:21:16
58.65288897,-134.2068848,1201.9,2021:07:15 22:21:19
58.65292967,-134.2069336,1201.3,2021:07:15 22:21:22
58.65293781,-134.2069173,1200.8,2021:07:15 22:21:25
58.65297036,-134.2069173,1200,2021:07:15 22:21:28
58.65299478,-134.2068848,1198.7,2021:07:15 22:21:31
58.65303547,-134.2068522,1197.9,2021:07:15 22:21:34
58.65306803,-134.2068359,1196.8,2021:07:15 22:21:37
58.65310058,-134.2068196,1196.2,2021:07:15 22:21:40
58.65313311,-134.2068196,1195.2,2021:07:15 22:21:43
58.65315753,-134.2068196,1193.7,2021:07:15 22:21:46
58.65318194,-134.2068196,1191.8,2021:07:15 22:21:49
58.65320636,-134.2068034,1190.5,2021:07:15 22:21:52
58.65323078,-134.2068359,1190,2021:07:15 22:21:55
58.65322264,-134.2068522,1190.7,2021:07:15 22:21:59
58.65320636,-134.2066732,1192.6,2021:07:15 22:22:02
58.65319822,-134.2067057,1193.4,2021:07:15 22:22:06
58.65320636,-134.2068522,1195,2021:07:15 22:22:09
58.65318194,-134.2067708,1195.6,2021:07:15 22:22:12
58.65313311,-134.2067871,1196.4,2021:07:15 22:22:15
58.65312497,-134.2069173,1197.5,2021:07:15 22:22:18
58.65309244,-134.2069499,1198,2021:07:15 22:22:21
58.65314939,-134.2068359,1199.3,2021:07:15 22:22:24
58.65318194,-134.2067057,1199.4,2021:07:15 22:22:27
58.65318194,-134.2067383,1200.7,2021:07:15 22:22:30
58.65317381,-134.2068034,1201.5,2021:07:15 22:22:33
58.65318194,-134.2067546,1200.9,2021:07:15 22:22:36
58.65314939,-134.2068034,1198.4,2021:07:15 22:22:39
58.65307617,-134.2068359,1198.9,2021:07:15 22:22:42
58.65310872,-134.2067546,1198.2,2021:07:15 22:22:45
58.65313311,-134.2066569,1197,2021:07:15 22:22:49
58.65313311,-134.2066081,1195.9,2021:07:15 22:22:52
58.65313311,-134.2066243,1194.9,2021:07:15 22:22:56
58.65314125,-134.2066243,1193.8,2021:07:15 22:22:59
58.65315753,-134.2066081,1192.6,2021:07:15 22:23:02
58.65316567,-134.2065918,1191.7,2021:07:15 22:23:05
58.65317381,-134.2066081,1190.7,2021:07:15 22:23:08
58.65322264,-134.2065918,1190.6,2021:07:15 22:23:11
58.65323892,-134.2065755,1190,2021:07:15 22:23:14
58.65324706,-134.2065592,1189.3,2021:07:15 22:23:17
58.65326333,-134.2065267,1188.4,2021:07:15 22:23:20
58.65331217,-134.2065104,1187.7,2021:07:15 22:23:23
58.65332844,-134.2065104,1186.7,2021:07:15 22:23:26
58.65334472,-134.2065104,1185.9,2021:07:15 22:23:29
58.65333658,-134.2065104,1184.8,2021:07:15 22:23:32
58.65329589,-134.2065592,1184.5,2021:07:15 22:23:35
58.65323078,-134.2066732,1185.1,2021:07:15 22:23:38
58.65317381,-134.2066243,1185.8,2021:07:15 22:23:42
58.65323892,-134.2064616,1186.9,2021:07:15 22:23:45
58.65323078,-134.2064128,1185.8,2021:07:15 22:23:48
58.6532145,-134.2063639,1182.9,2021:07:15 22:23:51
58.6532145,-134.20625,1182,2021:07:15 22:23:54
58.65319008,-134.2062337,1181.4,2021:07:15 22:23:57
58.65315753,-134.2062825,1180.8,2021:07:15 22:24:00
58.65310872,-134.2062825,1179.7,2021:07:15 22:24:03
58.65303547,-134.2062337,1177.1,2021:07:15 22:24:06
58.65298664,-134.2063151,1179.8,2021:07:15 22:24:09
58.6529785,-134.2062988,1176,2021:07:15 22:24:12
58.65297036,-134.2062663,1172.4,2021:07:15 22:24:15
58.65295408,-134.20625,1170.9,2021:07:15 22:24:18
58.65293781,-134.20625,1169.8,2021:07:15 22:24:21
58.65292967,-134.2062663,1169.3,2021:07:15 22:24:24
58.65292153,-134.2062988,1168.6,2021:07:15 22:24:27
58.65290525,-134.2062825,1167.3,2021:07:15 22:24:31
58.65288897,-134.2062825,1166.2,2021:07:15 22:24:34
58.65288083,-134.20625,1165.2,2021:07:15 22:24:37
58.65284831,-134.20625,1164.3,2021:07:15 22:24:40
58.65281575,-134.2062337,1163.5,2021:07:15 22:24:43
58.65279947,-134.2062012,1162.7,2021:07:15 22:24:46
58.65279947,-134.2060872,1162.9,2021:07:15 22:24:49
58.65281575,-134.2060221,1163.4,2021:07:15 22:24:52
58.65279947,-134.2060221,1162.4,2021:07:15 22:24:55
58.6527425,-134.2059733,1159.6,2021:07:15 22:24:58
58.65273436,-134.2059896,1159.5,2021:07:15 22:25:01
58.65271808,-134.2059733,1159.3,2021:07:15 22:25:04
58.65268553,-134.2059408,1157.9,2021:07:15 22:25:07
58.65265297,-134.2059245,1156,2021:07:15 22:25:10
58.65261228,-134.2058919,1154.6,2021:07:15 22:25:13
58.65257161,-134.2058919,1153,2021:07:15 22:25:16
58.65254719,-134.2059408,1152.8,2021:07:15 22:25:20
58.65251464,-134.2059733,1152.4,2021:07:15 22:25:23
58.65251464,-134.2059082,1152.5,2021:07:15 22:25:29
58.65249022,-134.2059245,1153.4,2021:07:15 22:25:32
58.65240069,-134.2059408,1155.6,2021:07:15 22:25:35
58.65227864,-134.2058594,1153.9,2021:07:15 22:25:38
58.65226236,-134.2059408,1154,2021:07:15 22:25:41
58.65224608,-134.2060058,1155.2,2021:07:15 22:25:44
58.65217283,-134.205957,1156,2021:07:15 22:25:47
58.65209958,-134.2060221,1156.5,2021:07:15 22:25:50
58.65201008,-134.2060384,1155.1,2021:07:15 22:25:53
58.65193683,-134.2060709,1153.8,2021:07:15 22:25:56
58.65189614,-134.2061198,1152.6,2021:07:15 22:25:59
58.65187172,-134.2061523,1151,2021:07:15 22:26:02
58.65183917,-134.2061361,1149.2,2021:07:15 22:26:05
58.65182292,-134.2061361,1148.9,2021:07:15 22:26:08
58.65159503,-134.2063639,1148.9,2021:07:15 22:26:20
58.65149739,-134.2064453,1147.8,2021:07:15 22:26:23
58.65146483,-134.2062988,1148.6,2021:07:15 22:26:26
58.651416,-134.2062825,1148.8,2021:07:15 22:26:29
58.65135903,-134.2063476,1149.1,2021:07:15 22:26:32
58.65130208,-134.2063802,1148.9,2021:07:15 22:26:35
58.65125325,-134.2064616,1148.2,2021:07:15 22:26:38
58.65113931,-134.2065429,1146.1,2021:07:15 22:26:44
58.65109861,-134.2066243,1144.5,2021:07:15 22:26:47
58.65105792,-134.2066569,1142.5,2021:07:15 22:26:50
58.65104164,-134.2067057,1141.1,2021:07:15 22:26:53
58.65101725,-134.206722,1140.4,2021:07:15 22:26:56
58.65097656,-134.2067708,1139.7,2021:07:15 22:26:59
58.65072428,-134.2070475,1142.2,2021:07:15 22:27:11
58.65061847,-134.2069661,1143.2,2021:07:15 22:27:14
58.65059406,-134.206901,1141.9,2021:07:15 22:27:18
58.65054522,-134.2068522,1142.6,2021:07:15 22:27:21
