GPSLatitude,GPSLongitude,GPSAltitude,CreateDate
58.65048828,-134.2069499,1143.9,2021:07:15 22:27:24
58.65039061,-134.2069987,1143.8,2021:07:15 22:27:27
58.65024414,-134.2072754,1141.3,2021:07:15 22:27:36
58.65022786,-134.2073893,1140.4,2021:07:15 22:27:39
58.65019531,-134.207487,1139,2021:07:15 22:27:42
58.65013833,-134.2075521,1137.5,2021:07:15 22:27:45
58.65008136,-134.2076334,1136.3,2021:07:15 22:27:48
58.65004067,-134.2077148,1134.9,2021:07:15 22:27:51
58.64995931,-134.2079915,1129.4,2021:07:15 22:28:00
58.64995117,-134.2080566,1128.3,2021:07:15 22:28:03
58.65000811,-134.2081706,1130,2021:07:15 22:28:07
58.65004067,-134.2082031,1130.1,2021:07:15 22:28:10
58.65004881,-134.2081868,1130.2,2021:07:15 22:28:13
58.65004067,-134.2081706,1130.5,2021:07:15 22:28:16
58.65003253,-134.2081706,1130.8,2021:07:15 22:28:19
58.65003253,-134.2081868,1131.2,2021:07:15 22:28:22
58.65003253,-134.2082031,1132,2021:07:15 22:28:28
58.65003253,-134.2082194,1132.2,2021:07:15 22:28:31
58.65001625,-134.2082357,1132.1,2021:07:15 22:28:34
58.64999186,-134.2082682,1131.9,2021:07:15 22:28:37
58.64997558,-134.2082845,1131.8,2021:07:15 22:28:40
58.64995931,-134.2083171,1131.6,2021:07:15 22:28:43
58.64994303,-134.2083496,1131.4,2021:07:15 22:28:46
58.64991861,-134.208431,1131.1,2021:07:15 22:28:52
58.64991047,-134.2084798,1130.9,2021:07:15 22:28:55
58.64991861,-134.2085286,1131.1,2021:07:15 22:28:59
58.64991861,-134.2085612,1131.5,2021:07:15 22:29:02
58.64994303,-134.2085938,1131.4,2021:07:15 22:29:05
58.64995117,-134.2086263,1131.5,2021:07:15 22:29:08
58.64995117,-134.2086588,1131.6,2021:07:15 22:29:11
58.64993489,-134.2087565,1131.7,2021:07:15 22:29:17
58.64993489,-134.2087239,1131.9,2021:07:15 22:29:20
58.64993489,-134.2087239,1132.2,2021:07:15 22:29:23
58.64992675,-134.2087402,1132.6,2021:07:15 22:29:26
58.64991861,-134.2087077,1133,2021:07:15 22:29:29
58.64991047,-134.2086588,1133.4,2021:07:15 22:29:32
58.64991861,-134.20861,1133.2,2021:07:15 22:29:35
58.64992675,-134.2085286,1133.4,2021:07:15 22:29:41
58.64994303,-134.2084961,1133.6,2021:07:15 22:29:44
58.64995117,-134.2084635,1133.9,2021:07:15 22:29:47
58.64996744,-134.208431,1134.3,2021:07:15 22:29:50
58.64998372,-134.2083984,1134.6,2021:07:15 22:29:53
58.65000811,-134.2083659,1135,2021:07:15 22:29:56
58.65002439,-134.2083171,1135.4,2021:07:15 22:29:59
58.65004881,-134.2082845,1135.5,2021:07:15 22:30:02
58.65005694,-134.2082682,1135.3,2021:07:15 22:30:05
58.65005694,-134.2082357,1135.1,2021:07:15 22:30:08
58.65006508,-134.2082194,1134.9,2021:07:15 22:30:11
58.65006508,-134.2081868,1134.6,2021:07:15 22:30:14
58.65007322,-134.2081543,1134.2,2021:07:15 22:30:17
58.65006508,-134.208138,1133.7,2021:07:15 22:30:20
58.65005694,-134.2081217,1133,2021:07:15 22:30:23
58.65004881,-134.2081217,1132.4,2021:07:15 22:30:26
58.65002439,-134.2081217,1131.9,2021:07:15 22:30:29
58.65001625,-134.2080729,1131.1,2021:07:15 22:30:35
58.65001625,-134.2080729,1130.7,2021:07:15 22:30:38
58.65002439,-134.2080892,1130.7,2021:07:15 22:30:41
58.65002439,-134.2081054,1131,2021:07:15 22:30:44
58.65002439,-134.208138,1131,2021:07:15 22:30:47
58.65001625,-134.2081868,1131,2021:07:15 22:30:50
58.65000811,-134.2082194,1131,2021:07:15 22:30:54
58.64999186,-134.2082519,1130.9,2021:07:15 22:30:57
58.64998372,-134.2082845,1130.8,2021:07:15 22:31:00
58.64997558,-134.2083171,1130.7,2021:07:15 22:31:03
58.64995931,-134.2083333,1130.6,2021:07:15 22:31:06
58.64994303,-134.2083659,1130.5,2021:07:15 22:31:09
58.64992675,-134.2083821,1130.3,2021:07:15 22:31:12
58.64991047,-134.2083984,1130.1,2021:07:15 22:31:15
58.64990233,-134.208431,1129.6,2021:07:15 22:31:18
58.64988606,-134.2084473,1129.3,2021:07:15 22:31:21
58.64986978,-134.2084635,1129.1,2021:07:15 22:31:24
58.6498535,-134.2084961,1128.9,2021:07:15 22:31:27
58.64983722,-134.2085286,1128.8,2021:07:15 22:31:30
58.64981281,-134.2085612,1128.7,2021:07:15 22:31:33
58.64980467,-134.2085775,1128.5,2021:07:15 22:31:36
58.64978025,-134.2085938,1128.6,2021:07:15 22:31:39
58.64974769,-134.2086263,1128.4,2021:07:15 22:31:42
58.64973144,-134.2086263,1128.2,2021:07:15 22:31:46
58.64971517,-134.2086588,1128.1,2021:07:15 22:31:49
58.64969889,-134.2086751,1128.2,2021:07:15 22:31:52
58.64968261,-134.2086751,1128.3,2021:07:15 22:31:55
58.64968261,-134.2086914,1128.4,2021:07:15 22:31:58
58.64969889,-134.2087077,1128.9,2021:07:15 22:32:01
58.64973956,-134.2087402,1129.7,2021:07:15 22:32:04
58.64974769,-134.2088704,1130.3,2021:07:15 22:32:07
58.64970703,-134.2089193,1131.5,2021:07:15 22:32:10
58.64966633,-134.2088867,1131.9,2021:07:15 22:32:13
58.64965819,-134.2088704,1132.4,2021:07:15 22:32:16
58.64969075,-134.208903,1133.1,2021:07:15 22:32:19
58.64968261,-134.2090006,1134,2021:07:15 22:32:22
58.64964192,-134.2090495,1134.9,2021:07:15 22:32:25
58.64960122,-134.2090006,1135.5,2021:07:15 22:32:28
58.64959308,-134.2089681,1135.8,2021:07:15 22:32:31
58.64957681,-134.2089681,1135.7,2021:07:15 22:32:35
58.64956053,-134.2089844,1135.8,2021:07:15 22:32:38
58.64954425,-134.2090006,1135.9,2021:07:15 22:32:41
58.64952797,-134.2090169,1135.9,2021:07:15 22:32:44
58.64951169,-134.2090658,1135.6,2021:07:15 22:32:47
58.64950356,-134.2090658,1135.5,2021:07:15 22:32:50
58.64949542,-134.2090658,1135.3,2021:07:15 22:32:53
58.64951169,-134.2090169,1135.5,2021:07:15 22:32:56
58.64954425,-134.2090332,1135.8,2021:07:15 22:32:59
58.64954425,-134.2091146,1136.3,2021:07:15 22:33:02
58.64951983,-134.2091797,1136.9,2021:07:15 22:33:05
58.64948728,-134.2091959,1137.5,2021:07:15 22:33:08
58.64946289,-134.2091797,1138.1,2021:07:15 22:33:11
58.64946289,-134.2091471,1138.4,2021:07:15 22:33:14
58.64946289,-134.2091797,1138.6,2021:07:15 22:33:17
58.64947914,-134.2091797,1138.8,2021:07:15 22:33:20
58.64947914,-134.2091797,1138.6,2021:07:15 22:33:24
58.64948728,-134.2091146,1138.9,2021:07:15 22:33:27
58.64951983,-134.2090658,1139.3,2021:07:15 22:33:30
58.64952797,-134.209082,1139.8,2021:07:15 22:33:33
58.64951983,-134.2091146,1139.7,2021:07:15 22:33:36
58.64950356,-134.2091308,1139.8,2021:07:15 22:33:39
58.64951169,-134.2091146,1139.6,2021:07:15 22:33:42
58.64951983,-134.2091146,1139.5,2021:07:15 22:33:45
58.64953611,-134.2090658,1139.4,2021:07:15 22:33:48
58.64954425,-134.2090495,1139.2,2021:07:15 22:33:51
58.64956053,-134.2090169,1139.2,2021:07:15 22:33:54
58.64958494,-134.2090006,1139.4,2021:07:15 22:33:57
58.64959308,-134.2090006,1139.8,2021:07:15 22:34:00
58.64960122,-134.2089681,1140.7,2021:07:15 22:34:03
58.64960936,-134.2089518,1140,2021:07:15 22:34:06
58.64960936,-134.2089355,1140,2021:07:15 22:34:09
58.64960122,-134.2089355,1140.1,2021:07:15 22:34:12
58.64960122,-134.208903,1140.1,2021:07:15 22:34:15
58.64960936,-134.2088867,1140.2,2021:07:15 22:34:18
58.6496175,-134.2088867,1139.8,2021:07:15 22:34:21
58.6496175,-134.2088867,1139.5,2021:07:15 22:34:24
58.64962564,-134.2088867,1139.3,2021:07:15 22:34:31
58.64962564,-134.2088704,1139,2021:07:15 22:34:34
58.64962564,-134.2088867,1138.7,2021:07:15 22:34:37
58.6496175,-134.2088542,1138.7,2021:07:15 22:34:40
58.64962564,-134.2088704,1138.8,2021:07:15 22:34:43
58.6496175,-134.2088867,1139.2,2021:07:15 22:34:46
58.64960936,-134.208903,1139.1,2021:07:15 22:34:49
58.64960122,-134.2088867,1138.9,2021:07:15 22:34:52
58.64960122,-134.2088704,1138.8,2021:07:15 22:34:55
58.64960122,-134.2088542,1138.9,2021:07:15 22:34:58
58.64960936,-134.2088542,1139,2021:07:15 22:35:01
58.6496175,-134.2088542,1138.9,2021:07:15 22:35:04
58.6496175,-134.2088379,1139.1,2021:07:15 22:35:07
58.64963378,-134.2088379,1139,2021:07:15 22:35:10
58.64965006,-134.2088379,1139,2021:07:15 22:35:13
58.64965819,-134.2088216,1138.9,2021:07:15 22:35:16
58.64967447,-134.2088053,1139,2021:07:15 22:35:19
58.64969075,-134.2087728,1139.7,2021:07:15 22:35:23
58.64970703,-134.2087402,1139.6,2021:07:15 22:35:26
58.64971517,-134.2087239,1139.7,2021:07:15 22:35:29
58.64971517,-134.2087077,1139.9,2021:07:15 22:35:32
58.64972331,-134.2086914,1140.1,2021:07:15 22:35:35
58.64973144,-134.2086914,1140.2,2021:07:15 22:35:38
58.64973144,-134.2086588,1140.3,2021:07:15 22:35:41
58.64973956,-134.2086588,1140.2,2021:07:15 22:35:44
58.64974769,-134.2086588,1140,2021:07:15 22:35:47
58.64976397,-134.2086588,1140,2021:07:15 22:35:50
58.64977211,-134.2086588,1140,2021:07:15 22:35:53
58.64979653,-134.2086751,1139.6,2021:07:15 22:35:56
58.64981281,-134.2086751,1139.3,2021:07:15 22:35:59
58.64982908,-134.2087077,1139.1,2021:07:15 22:36:02
58.64986164,-134.2087402,1138.1,2021:07:15 22:36:05
58.64986164,-134.20861,1140.2,2021:07:15 22:36:12
58.64983722,-134.20861,1139.2,2021:07:15 22:36:15
58.64981281,-134.2086263,1138.3,2021:07:15 22:36:18
58.64978839,-134.2086588,1137.4,2021:07:15 22:36:21
58.64978025,-134.2086588,1136.7,2021:07:15 22:36:24
58.64977211,-134.2087077,1136.1,2021:07:15 22:36:27
58.64976397,-134.2087239,1135.7,2021:07:15 22:36:30
58.64975583,-134.2087402,1135.1,2021:07:15 22:36:33
58.64974769,-134.2087565,1134.4,2021:07:15 22:36:36
58.64972331,-134.2087728,1133.7,2021:07:15 22:36:39
58.64972331,-134.2087891,1133.1,2021:07:15 22:36:42
58.64974769,-134.2087891,1133.1,2021:07:15 22:36:45
58.64976397,-134.2087728,1132.8,2021:07:15 22:36:48
58.64976397,-134.2087402,1132.6,2021:07:15 22:36:51
58.64978839,-134.2086914,1132.8,2021:07:15 22:36:54
58.64981281,-134.2086588,1133.2,2021:07:15 22:36:57
58.64982094,-134.2086263,1133.4,2021:07:15 22:37:01
58.64982094,-134.2085938,1133.9,2021:07:15 22:37:04
58.64983722,-134.2085775,1133.9,2021:07:15 22:37:07
58.6498535,-134.2085938,1133.6,2021:07:15 22:37:10
58.6498535,-134.2086426,1133.3,2021:07:15 22:37:13
58.64986164,-134.2086751,1132.9,2021:07:15 22:37:16
58.64987792,-134.2086914,1132.4,2021:07:15 22:37:19
58.64989419,-134.2087077,1131.5,2021:07:15 22:37:22
58.64991047,-134.2087077,1130.7,2021:07:15 22:37:25
58.64991861,-134.2087077,1129.9,2021:07:15 22:37:28
58.64991861,-134.2087239,1129.2,2021:07:15 22:37:31
58.64991047,-134.2087402,1128.6,2021:07:15 22:37:34
58.64991047,-134.2087239,1128.3,2021:07:15 22:37:37
58.64991047,-134.2087077,1128,2021:07:15 22:37:40
58.64991861,-134.2086751,1127.7,2021:07:15 22:37:43
58.64991861,-134.2086426,1127.8,2021:07:15 22:37:46
58.64991861,-134.2085938,1127.7,2021:07:15 22:37:49
58.64991861,-134.2085612,1127.7,2021:07:15 22:37:52
58.64992675,-134.2085286,1127.6,2021:07:15 22:37:55
58.64993489,-134.2085124,1127.4,2021:07:15 22:37:58
58.64994303,-134.2085286,1127.2,2021:07:15 22:38:01
58.64995117,-134.2085612,1127,2021:07:15 22:38:04
58.64995117,-134.2085775,1126.9,2021:07:15 22:38:07
58.64995117,-134.2085938,1126.5,2021:07:15 22:38:10
58.64995117,-134.20861,1126.3,2021:07:15 22:38:13
58.64996744,-134.2086263,1126.1,2021:07:15 22:38:16
58.64996744,-134.2086263,1126,2021:07:15 22:38:19
58.64995931,-134.2086263,1125.9,2021:07:15 22:38:22
58.64996744,-134.2086263,1125.6,2021:07:15 22:38:25
58.64996744,-134.20861,1125.1,2021:07:15 22:38:28
58.64997558,-134.20861,1124.5,2021:07:15 22:38:31
58.64998372,-134.20861,1124.4,2021:07:15 22:38:34
58.64999186,-134.2086263,1124.4,2021:07:15 22:38:37
58.64999997,-134.2086426,1124.4,2021:07:15 22:38:40
58.64999997,-134.2086751,1124.5,2021:07:15 22:38:43
58.65000811,-134.2087077,1124.8,2021:07:15 22:38:46
58.65000811,-134.2087402,1124.8,2021:07:15 22:38:49
58.65000811,-134.2087728,1124.8,2021:07:15 22:38:52
58.65000811,-134.2088053,1124.8,2021:07:15 22:38:55
58.65000811,-134.2088379,1124.9,2021:07:15 22:38:59
58.64999997,-134.2088542,1124.8,2021:07:15 22:39:02
58.65000811,-134.2088867,1124.5,2021:07:15 22:39:05
58.65000811,-134.208903,1124.4,2021:07:15 22:39:08
58.65000811,-134.2089193,1124.4,2021:07:15 22:39:11
58.65000811,-134.2089355,1124.6,2021:07:15 22:39:14
58.65000811,-134.2089518,1124.7,2021:07:15 22:39:17
58.64999997,-134.2089844,1124.8,2021:07:15 22:39:20
58.64999997,-134.2090006,1124.8,2021:07:15 22:39:23
58.64999186,-134.2090169,1124.7,2021:07:15 22:39:26
58.64999186,-134.2090006,1124.2,2021:07:15 22:39:29
58.64998372,-134.2090006,1123.8,2021:07:15 22:39:32
58.64998372,-134.2090006,1123.4,2021:07:15 22:39:35
58.64997558,-134.2090006,1123.5,2021:07:15 22:39:38
58.64996744,-134.2090006,1123.4,2021:07:15 22:39:41
58.64995117,-134.2090169,1123.6,2021:07:15 22:39:44
58.64994303,-134.2090332,1123.6,2021:07:15 22:39:48
58.64993489,-134.2090495,1123.7,2021:07:15 22:39:51
58.64992675,-134.2090658,1124,2021:07:15 22:39:54
58.64992675,-134.209082,1124.1,2021:07:15 22:39:57
58.64991861,-134.2090983,1124.1,2021:07:15 22:40:00
58.64990233,-134.2091146,1124.2,2021:07:15 22:40:03
58.64988606,-134.2091634,1124.7,2021:07:15 22:40:06
58.64986978,-134.2091959,1125.4,2021:07:15 22:40:09
58.64984536,-134.2092122,1126.2,2021:07:15 22:40:12
58.64982908,-134.2092285,1127.3,2021:07:15 22:40:15
58.64980467,-134.2092285,1127.9,2021:07:15 22:40:18
58.64979653,-134.2092448,1127.9,2021:07:15 22:40:21
58.64978025,-134.2092611,1128.2,2021:07:15 22:40:24
58.64975583,-134.2092611,1128.6,2021:07:15 22:40:27
58.64973144,-134.2092611,1129.2,2021:07:15 22:40:30
58.64970703,-134.2092936,1129.4,2021:07:15 22:40:33
58.64968261,-134.2092936,1129.6,2021:07:15 22:40:36
58.64965819,-134.2093099,1129.9,2021:07:15 22:40:40
58.64963378,-134.2093424,1130.3,2021:07:15 22:40:43
58.64960936,-134.2093424,1130.9,2021:07:15 22:40:46
58.64959308,-134.2093587,1131,2021:07:15 22:40:49
