SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,CreateDate,relativealtitude
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094641_033.JPG,2021_0715_094641_033.JPG,58.6506917222222,-134.209423805556,1110.1,2021:07:15 09:46:41,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094644_034.JPG,2021_0715_094644_034.JPG,58.6507242777778,-134.209293611111,1111,2021:07:15 09:46:44,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094647_035.JPG,2021_0715_094647_035.JPG,58.650708,-134.2092285,1111.7,2021:07:15 09:46:47,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094650_036.JPG,2021_0715_094650_036.JPG,58.6506673055556,-134.209244777778,1111.3,2021:07:15 09:46:50,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094653_037.JPG,2021_0715_094653_037.JPG,58.6506103333333,-134.209195944444,1112,2021:07:15 09:46:53,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094656_038.JPG,2021_0715_094656_038.JPG,58.6506266111111,-134.209082027778,1113.1,2021:07:15 09:46:56,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094659_039.JPG,2021_0715_094659_039.JPG,58.6506591666667,-134.208984361111,1114.1,2021:07:15 09:46:59,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094702_040.JPG,2021_0715_094702_040.JPG,58.65063475,-134.208951805556,1113.7,2021:07:15 09:47:02,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094705_041.JPG,2021_0715_094705_041.JPG,58.6505696388889,-134.208935527778,1114,2021:07:15 09:47:05,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094708_042.JPG,2021_0715_094708_042.JPG,58.6505777777778,-134.209000638889,1114.6,2021:07:15 09:47:08,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094711_043.JPG,2021_0715_094711_043.JPG,58.6506184722222,-134.209114583333,1115,2021:07:15 09:47:11,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094714_044.JPG,2021_0715_094714_044.JPG,58.6506021944444,-134.2092285,1115.3,2021:07:15 09:47:14,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094717_045.JPG,2021_0715_094717_045.JPG,58.6505696388889,-134.209212222222,1115.8,2021:07:15 09:47:17,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094720_046.JPG,2021_0715_094720_046.JPG,58.6506103333333,-134.209212222222,1116.5,2021:07:15 09:47:20,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094723_047.JPG,2021_0715_094723_047.JPG,58.6506754444444,0,1117.2,2021:07:15 09:47:23,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094726_048.JPG,2021_0715_094726_048.JPG,58.6507649722222,-134.209375,1117.9,2021:07:15 09:47:26,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094729_049.JPG,2021_0715_094729_049.JPG,58.6508463333333,-134.209488916667,1118.8,2021:07:15 09:47:29,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094732_050.JPG,2021_0715_094732_050.JPG,58.6509114444444,-134.209570305556,1119.4,2021:07:15 09:47:32,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094735_051.JPG,2021_0715_094735_051.JPG,58.6509358611111,-134.209635388889,1120.1,2021:07:15 09:47:35,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094738_052.JPG,2021_0715_094738_052.JPG,58.6509521388889,-134.209651666667,1120.9,2021:07:15 09:47:38,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094741_053.JPG,2021_0715_094741_053.JPG,58.6509765555556,-134.209684222222,1121.3,2021:07:15 09:47:41,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094744_054.JPG,2021_0715_094744_054.JPG,58.6510335277778,-134.209749333333,1121.5,2021:07:15 09:47:44,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094747_055.JPG,2021_0715_094747_055.JPG,58.6511148888889,0,1119.4,2021:07:15 09:47:47,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094750_056.JPG,2021_0715_094750_056.JPG,58.6512125555556,-134.209863277778,1121,2021:07:15 09:47:50,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094753_057.JPG,2021_0715_094753_057.JPG,58.6512939444444,-134.209993472222,1121.8,2021:07:15 09:47:53,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094756_058.JPG,2021_0715_094756_058.JPG,58.6513590277778,-134.210123694444,1123.1,2021:07:15 09:47:56,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094759_059.JPG,2021_0715_094759_059.JPG,58.6514404166667,-134.2101725,1124.8,2021:07:15 09:47:59,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094802_060.JPG,2021_0715_094802_060.JPG,58.65148925,0.100666638888889,1125.6,2021:07:15 09:48:02,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094805_061.JPG,2021_0715_094805_061.JPG,58.65148925,-134.210107416667,1126.1,2021:07:15 09:48:05,-
C:/Users/maxbu/OneDrive/Documents/Thesis/blimp_1/2021_0715_094808_062.JPG,2021_0715_094808_062.JPG,58.6514648333333,-134.210123694444,1126.1,2021:07:15 09:48:08,-
